triangle,anchor_k,n_origins_in_scope,n_train_rows,actual_future,naive_no_development,fit_seconds,predict_seconds,tabpfn_reserve,tabpfn_repeat_reserve,repeat_seconds,placebo_reserve,placebo_seconds,cl_factor_reserve,cl_note,cl_shape,cl_ibnr_reference,mack_ibnr_reference,mack_total_mack_std_err,err_pct_tabpfn_reserve,err_pct_placebo_reserve,err_pct_cl_factor_reserve,err_pct_cl_ibnr_reference,err_pct_mack_ibnr_reference,err_pct_naive_no_development,tabpfn_interval,covered_0.5,covered_0.75,covered_0.9,covered_0.95
abc,5,6,15,2092802.0,0.0,5.434813022613525,19.958738803863525,2152788.040952936,2152788.040952936,13.980684041976929,60289026.590547666,17.96537685394287,2497504.2486417773,ibnr includes the tail beyond the last diagonal; reference only,"[6, 6]",1607342.0230565737,1607342.0230565737,12600.99493249317,2.8663027344648855,2780.7802453623262,19.337818324035304,-23.196651042163868,-23.196651042163868,-100.0,"[418810.1198218797, 2652325.573883569]",True,True,True,True
abc,6,7,21,2049742.0,0.0,4.774816036224365,27.544322967529297,2114874.444286384,2114874.444286384,22.406885147094727,25172973.054268613,24.620946168899536,2093768.741250243,ibnr includes the tail beyond the last diagonal; reference only,"[7, 7]",1830690.9172213394,1830690.9172213394,20624.82698220963,3.1775923158321464,1128.1044665264512,2.1479162377627543,-10.686763640431849,-10.686763640431849,-100.0,"[1130851.17062722, 2249368.6808729665]",False,True,True,True
abc,7,8,28,2089266.0,0.0,4.101265907287598,35.42284798622131,1777488.554451094,1777488.554451094,25.708876132965088,13359731.821789512,24.691219091415405,1838218.8962121487,ibnr includes the tail beyond the last diagonal; reference only,"[8, 8]",2149689.955305472,2149689.955305472,27407.844124640265,-14.922821964695064,539.4461893214896,-12.016043136099055,2.892114039355066,2.892114039355066,-100.0,"[1477069.1107411494, 1938300.5681694031]",False,False,False,False
abc,8,9,36,2055248.0,0.0,5.415987968444824,44.542925119400024,1907989.4708281066,1907989.4708281066,31.767439126968384,7962907.766562892,22.595258951187134,1723768.4303172233,ibnr includes the tail beyond the last diagonal; reference only,"[9, 9]",2832377.3603764917,2832377.3603764917,50484.32701323395,-7.165000485191732,287.44267195797744,-16.1284462839899,37.811950692884345,37.811950692884345,-100.0,"[1585835.0495121425, 2195881.6230877615]",False,True,True,True
genins,5,6,15,12221385.0,0.0,4.9127209186553955,33.47855806350708,19811735.873459034,19811735.873459034,16.682471990585327,431478485.50575954,19.445008039474487,20970810.22456125,ibnr includes the tail beyond the last diagonal; reference only,"[6, 6]",11415044.429859284,11415044.429859284,2050126.959696593,62.10712512091742,3430.5203584189476,71.59111037383448,-6.5977838857111175,-6.5977838857111175,-100.0,"[-1216179.4281157264, 44951785.352872096]",True,True,True,True
genins,6,7,21,10554061.0,0.0,4.756261825561523,30.622440338134766,15646681.663036587,15646681.663036587,16.15053701400757,210116241.15301695,21.20294499397278,12025072.743691098,ibnr includes the tail beyond the last diagonal; reference only,"[7, 7]",13547392.579791091,13547392.579791091,2960755.3039998026,48.25271204171159,1890.8568005530474,13.937874185975408,28.361893869962394,28.361893869962394,-100.0,"[3391179.9172212225, 28904493.638912592]",True,True,True,True
genins,7,8,28,9507303.0,0.0,4.985383033752441,35.34980797767639,8856074.356484193,8856074.356484193,22.879360914230347,83262657.92703323,26.70562171936035,7985313.5321138315,ibnr includes the tail beyond the last diagonal; reference only,"[8, 8]",12865512.21350963,12865512.21350963,3000667.5997316064,-6.849772680178665,775.7757896959131,-16.008635339445565,35.322417025202945,35.322417025202945,-100.0,"[2642850.008075583, 15487096.601485582]",True,True,True,True
mcl,3,4,6,2948.0,0.0,5.12456488609314,29.062588930130005,20450.64405794938,20450.64405794938,37.7318480014801,22263.076330179494,30.249648809432983,2020.8704789946282,ibnr includes the tail beyond the last diagonal; reference only,"[4, 4]",7020.565120103786,7020.565120103786,1958.4397360985547,593.7124850050672,655.1925485135513,-31.449441011037035,138.1467137077268,138.1467137077268,-100.0,"[-3479.485055936583, 47100.106724996695]",False,True,True,True
mcl,4,5,10,2144.0,0.0,6.603089094161987,68.08287215232849,8418.220038558578,8418.220038558578,34.33765125274658,26460.952477747975,28.30332088470459,2339.1821229287734,ibnr includes the tail beyond the last diagonal; reference only,"[5, 5]",7268.440556266566,7268.440556266566,1629.6456648833325,292.6408600073964,1134.186216312872,9.103643793319655,239.01308564676148,239.01308564676148,-100.0,"[-1716.865540812035, 19246.58368997596]",True,True,True,True
ukmotor,3,4,6,16255.0,0.0,6.566915988922119,55.642839193344116,36661.61905583823,36661.61905583823,23.231814861297607,41037.52082408169,34.71414303779602,29934.93734806957,ibnr includes the tail beyond the last diagonal; reference only,"[4, 4]",15158.66525035768,15158.66525035768,3219.146862808192,125.54056632321273,152.46090940683905,84.15833496197828,-6.744600120838631,-6.744600120838631,-100.0,"[9851.89634545165, 82412.93686150243]",False,False,True,True
ukmotor,4,5,10,14682.0,0.0,9.956947088241577,29.856876850128174,13594.663986688058,13594.663986688058,20.140255212783813,51114.09250398083,21.972365140914917,17127.791805840796,ibnr includes the tail beyond the last diagonal; reference only,"[5, 5]",17287.58173101094,17287.58173101094,3452.4619931843176,-7.405912091758222,248.14121035268238,16.65843758235115,17.746776535968817,17.746776535968817,-100.0,"[-456.7988394574402, 29712.284728534043]",True,True,True,True
