triangle,anchor_k,target,n_origins_in_scope,n_train_rows,actual_future,naive_no_development,fit_seconds,predict_seconds,tabpfn_reserve,tabpfn_repeat_reserve,repeat_seconds,placebo_reserve,placebo_seconds,cl_factor_reserve,cl_note,cl_shape,cl_ibnr_reference,mack_ibnr_reference,mack_total_mack_std_err,err_pct_tabpfn_reserve,err_pct_placebo_reserve,err_pct_cl_factor_reserve,err_pct_cl_ibnr_reference,err_pct_mack_ibnr_reference,err_pct_naive_no_development,tabpfn_interval,covered_0.5,covered_0.75,covered_0.9,covered_0.95
abc,5,delta,6,15,2092802.0,0.0,9.149070978164673,36.074389934539795,2515076.4316398455,2515076.4316398455,19.198848962783813,2529872.120798487,26.989704132080078,2497504.2486417773,ibnr includes the tail beyond the last diagonal; reference only,"[6, 6]",1607342.0230565737,1607342.0230565737,12600.99493249317,20.17746693857544,20.8844468228952,19.337818324035304,-23.196651042163868,-23.196651042163868,-100.0,"[2331123.296563022, 2700743.3536075647]",False,False,False,False
abc,6,delta,7,21,2049742.0,0.0,4.907054901123047,38.38626003265381,2116877.1006664624,2116877.1006664624,27.03718090057373,2109660.725067357,25.56749415397644,2093768.741250243,ibnr includes the tail beyond the last diagonal; reference only,"[7, 7]",1830690.9172213394,1830690.9172213394,20624.82698220963,3.275295167219213,2.9232325369415793,2.1479162377627543,-10.686763640431849,-10.686763640431849,-100.0,"[1966005.898928092, 2271851.4292783504]",True,True,True,True
abc,7,delta,8,28,2089266.0,0.0,5.461861848831177,46.56530499458313,1872420.1141351585,1872420.1141351585,20.252284288406372,1886789.5121989492,25.21187686920166,1838218.8962121487,ibnr includes the tail beyond the last diagonal; reference only,"[8, 8]",2149689.955305472,2149689.955305472,27407.844124640265,-10.379046318891014,-9.691273767966873,-12.016043136099055,2.892114039355066,2.892114039355066,-100.0,"[1688085.9104524467, 2096529.811376414]",False,False,True,True
abc,8,delta,9,36,2055248.0,0.0,4.604112863540649,42.76524591445923,1932976.7235107094,1932976.7235107094,27.59122610092163,1747400.3481878499,28.32841682434082,1723768.4303172233,ibnr includes the tail beyond the last diagonal; reference only,"[9, 9]",2832377.3603764917,2832377.3603764917,50484.32701323395,-5.949222502067421,-14.97861337474359,-16.1284462839899,37.811950692884345,37.811950692884345,-100.0,"[1621682.3410637132, 2254980.4267558926]",False,True,True,True
genins,5,delta,6,15,12221385.0,0.0,4.875591039657593,36.07944107055664,20855183.389678225,20855183.389678225,24.313414096832275,25427904.67123987,18.21692180633545,20970810.22456125,ibnr includes the tail beyond the last diagonal; reference only,"[6, 6]",11415044.429859284,11415044.429859284,2050126.959696593,70.64500782585792,108.06074492571727,71.59111037383448,-6.5977838857111175,-6.5977838857111175,-100.0,"[6203054.563536836, 38538690.470119424]",False,True,True,True
genins,6,delta,7,21,10554061.0,0.0,5.567466974258423,21.65309500694275,13377741.843557194,13377741.843557194,15.68570613861084,13772563.75821532,14.76673412322998,12025072.743691098,ibnr includes the tail beyond the last diagonal; reference only,"[7, 7]",13547392.579791091,13547392.579791091,2960755.3039998026,26.75444877149368,30.495396589192723,13.937874185975408,28.361893869962394,28.361893869962394,-100.0,"[2152041.796426365, 26549998.62724086]",True,True,True,True
genins,7,delta,8,28,9507303.0,0.0,4.623294115066528,29.434076070785522,8038788.160592381,8038788.160592381,26.47956609725952,9032943.888233986,31.613591194152832,7985313.5321138315,ibnr includes the tail beyond the last diagonal; reference only,"[8, 8]",12865512.21350963,12865512.21350963,3000667.5997316064,-15.446176895883294,-4.989418258427382,-16.008635339445565,35.322417025202945,35.322417025202945,-100.0,"[808798.9481084776, 15805514.05096413]",True,True,True,True
mcl,3,delta,4,6,2948.0,0.0,4.949971914291382,20.974475145339966,5951.81069649613,5951.81069649613,19.40630602836609,6252.920921680033,31.859625816345215,2020.8704789946282,ibnr includes the tail beyond the last diagonal; reference only,"[4, 4]",7020.565120103786,7020.565120103786,1958.4397360985547,101.8931715229352,112.1072225807338,-31.449441011037035,138.1467137077268,138.1467137077268,-100.0,"[-2731.519648886962, 13500.818614901676]",True,True,True,True
mcl,4,delta,5,10,2144.0,0.0,5.963595628738403,34.62588596343994,4170.016300408236,4170.016300408236,27.49968409538269,7784.0640509344075,21.475433111190796,2339.1821229287734,ibnr includes the tail beyond the last diagonal; reference only,"[5, 5]",7268.440556266566,7268.440556266566,1629.6456648833325,94.49702893695131,263.0626889428362,9.103643793319655,239.01308564676148,239.01308564676148,-100.0,"[-2654.768577059932, 10690.370344910018]",True,True,True,True
ukmotor,3,delta,4,6,16255.0,0.0,6.800945997238159,29.73149800300598,29943.79917900938,29943.79917900938,36.41149020195007,30029.189694905777,34.50826811790466,29934.93734806957,ibnr includes the tail beyond the last diagonal; reference only,"[4, 4]",15158.66525035768,15158.66525035768,3219.146862808192,84.21285253158646,84.73817099296079,84.15833496197828,-6.744600120838631,-6.744600120838631,-100.0,"[27846.6772621477, 32164.443862525495]",False,False,False,False
ukmotor,4,delta,5,10,14682.0,0.0,8.048645257949829,31.035195112228394,15371.992978145794,15371.992978145794,18.714487075805664,16920.949419248223,18.188345909118652,17127.791805840796,ibnr includes the tail beyond the last diagonal; reference only,"[5, 5]",17287.58173101094,17287.58173101094,3452.4619931843176,4.699584376418703,15.249621436100146,16.65843758235115,17.746776535968817,17.746776535968817,-100.0,"[10178.557226099327, 20480.890401545137]",True,True,True,True
